Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
95,James Harden,PG,31,BRK,9,9,35.8,5.7,12.0,0.472,2.7,7.3,0.364,3.0,4.7,0.643,0.583,6.2,6.9,0.903,0.8,5.6,6.3,8.6,1.7,0.7,2.9,2.6,20.2,hardeja01
96,Montrezl Harrell,C,27,LAL,4,0,9.8,2.0,3.5,0.571,0.0,0.0,,2.0,3.5,0.571,0.571,1.8,2.3,0.778,1.3,1.3,2.5,0.0,0.5,0.0,0.5,0.8,5.8,harremo01
97,Joe Harris,SF,29,BRK,12,12,36.2,4.1,10.3,0.398,2.8,6.8,0.402,1.3,3.4,0.39,0.533,0.3,0.3,0.75,0.4,3.2,3.6,1.6,0.3,0.2,0.8,2.8,11.2,harrijo01
98,Tobias Harris,PF,28,PHI,12,12,36.5,8.8,17.9,0.488,1.3,3.6,0.372,7.4,14.3,0.517,0.526,2.9,3.3,0.875,0.8,7.7,8.5,3.5,1.0,0.4,1.5,2.4,21.8,harrito02
99,Shaquille Harrison,SG,27,DEN,9,0,4.4,0.3,0.4,0.75,0.1,0.1,1.0,0.2,0.3,0.667,0.875,0.2,0.3,0.667,0.0,0.9,0.9,0.3,0.3,0.3,0.6,0.3,1.0,harrish01
100,Tyler Herro,SG,21,MIA,4,0,23.3,3.0,9.5,0.316,1.5,4.8,0.316,1.5,4.8,0.316,0.395,1.8,1.8,1.0,0.3,3.0,3.3,1.8,0.3,0.3,0.8,0.5,9.3,herroty01
101,George Hill,PG,34,PHI,12,0,17.1,1.6,3.6,0.442,0.7,1.6,0.421,0.9,2.0,0.458,0.535,0.8,1.1,0.769,0.4,0.9,1.3,1.5,0.7,0.3,0.8,1.5,4.7,hillge01
102,Solomon Hill,PF,29,ATL,14,3,10.4,0.4,1.7,0.25,0.2,1.3,0.167,0.2,0.4,0.5,0.313,0.1,0.3,0.5,0.2,1.1,1.4,0.2,0.1,0.1,0.1,1.3,1.2,hillso01
103,Jrue Holiday,PG,30,MIL,23,23,39.7,6.9,16.9,0.406,1.9,6.2,0.303,5.0,10.7,0.466,0.461,1.7,2.4,0.714,1.4,4.3,5.7,8.7,1.7,0.4,2.4,2.1,17.3,holidjr01
104,Rondae Hollis-Jefferson,PF,26,POR,5,0,7.2,0.8,1.0,0.8,0.0,0.0,,0.8,1.0,0.8,0.8,0.4,0.6,0.667,0.6,1.0,1.6,0.0,0.2,0.2,0.0,1.0,2.0,holliro01
105,Talen Horton-Tucker,SG,20,LAL,4,0,12.0,2.8,6.0,0.458,0.3,1.3,0.2,2.5,4.8,0.526,0.479,0.8,1.3,0.6,0.5,3.0,3.5,0.5,0.3,0.0,0.8,0.8,6.5,hortota01
106,Dwight Howard,C,35,PHI,12,0,12.4,1.3,2.5,0.533,0.0,0.1,0.0,1.3,2.4,0.552,0.533,2.0,3.3,0.6,2.2,4.1,6.3,0.7,0.2,0.5,1.0,2.6,4.7,howardw01
107,Markus Howard,SG,21,DEN,9,0,12.4,1.7,4.1,0.405,1.2,2.9,0.423,0.4,1.2,0.364,0.554,0.1,0.2,0.5,0.1,0.7,0.8,0.4,0.0,0.1,0.0,1.1,4.7,howarma02
108,Kevin Huerter,SG,22,ATL,18,10,31.0,4.3,10.0,0.428,1.8,5.3,0.347,2.4,4.7,0.518,0.519,0.7,0.9,0.706,0.6,3.2,3.8,2.8,0.8,0.9,1.1,2.7,11.1,huertke01
109,De'Andre Hunter,SF,23,ATL,5,5,30.4,3.6,9.0,0.4,1.2,3.2,0.375,2.4,5.8,0.414,0.467,2.4,3.2,0.75,0.4,3.6,4.0,0.6,0.2,0.6,1.4,2.2,10.8,huntede01
110,Chandler Hutchison,SF,24,WAS,2,0,9.0,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,1.0,1.0,1.0,0.0,1.5,1.5,0.5,0.0,0.0,0.5,0.5,3.0,hutchch01
111,Serge Ibaka,C,31,LAC,2,0,9.0,1.5,3.0,0.5,0.0,1.0,0.0,1.5,2.0,0.75,0.5,2.0,2.0,1.0,0.5,1.5,2.0,1.0,0.5,1.5,0.5,0.5,5.0,ibakase01
112,Andre Iguodala,SF,37,MIA,4,0,17.8,1.5,2.8,0.545,0.8,1.8,0.429,0.8,1.0,0.75,0.682,0.0,0.0,,0.8,2.3,3.0,1.3,1.0,0.5,1.3,2.0,3.8,iguodan01
113,Ersan Ilyasova,PF,33,UTA,1,0,3.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ilyaser01
114,Joe Ingles,SF,33,UTA,11,6,27.8,3.5,7.2,0.494,2.2,5.3,0.414,1.4,1.9,0.714,0.646,0.9,1.2,0.769,0.1,3.0,3.1,3.5,0.6,0.0,0.8,1.7,10.2,inglejo01
115,Kyrie Irving,PG,28,BRK,9,9,36.1,8.6,18.1,0.472,2.7,7.2,0.369,5.9,10.9,0.541,0.546,2.9,3.1,0.929,1.3,4.4,5.8,3.4,1.0,0.6,1.2,2.1,22.7,irvinky01
116,Jaren Jackson Jr.,C,21,MEM,5,5,27.4,4.6,10.8,0.426,1.6,5.6,0.286,3.0,5.2,0.577,0.5,2.8,3.2,0.875,1.8,3.8,5.6,1.0,1.0,1.2,0.8,4.2,13.6,jacksja02
117,Justin Jackson,SF,25,MIL,5,0,3.0,0.6,1.0,0.6,0.0,0.4,0.0,0.6,0.6,1.0,0.6,0.0,0.0,,0.2,0.2,0.4,0.2,0.2,0.0,0.2,0.0,1.2,jacksju01
118,Reggie Jackson,SG,30,LAC,19,17,32.7,6.4,13.3,0.484,3.1,7.5,0.408,3.4,5.8,0.582,0.599,1.9,2.2,0.878,0.4,2.8,3.2,3.4,0.9,0.2,1.5,2.6,17.8,jacksre01
119,LeBron James,PG,36,LAL,6,6,37.3,9.0,19.0,0.474,3.0,8.0,0.375,6.0,11.0,0.545,0.553,2.3,3.8,0.609,1.2,6.0,7.2,8.0,1.5,0.3,4.2,1.2,23.3,jamesle01
120,Mike James,PG,30,BRK,9,0,11.4,1.6,4.8,0.326,0.6,1.8,0.313,1.0,3.0,0.333,0.384,0.0,0.0,,0.2,1.6,1.8,1.3,0.2,0.0,0.3,0.7,3.7,jamesmi02
121,Isaiah Joe,SG,21,PHI,4,0,2.3,0.3,0.8,0.333,0.0,0.5,0.0,0.3,0.3,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.5,joeis01
122,Alize Johnson,PF,24,BRK,5,0,4.6,0.8,1.4,0.571,0.0,0.0,,0.8,1.4,0.571,0.571,0.0,0.0,,0.6,2.0,2.6,0.0,0.6,0.0,0.6,0.2,1.6,johnsal02
123,Cameron Johnson,PF,24,PHO,21,0,21.1,2.6,5.2,0.5,1.6,3.5,0.446,1.0,1.7,0.611,0.65,1.4,1.5,0.906,0.8,2.4,3.1,0.8,0.9,0.2,0.7,1.3,8.2,johnsca02
124,Tyler Johnson,SG,28,BRK,8,0,8.6,0.8,2.1,0.353,0.4,1.4,0.273,0.4,0.8,0.5,0.441,0.3,0.3,1.0,0.3,0.5,0.8,0.6,0.3,0.0,0.1,1.1,2.1,johnsty01
125,Nikola Jokic,C,25,DEN,10,10,34.5,11.6,22.8,0.509,2.0,5.3,0.377,9.6,17.5,0.549,0.553,4.6,5.5,0.836,3.7,7.9,11.6,5.0,0.6,0.9,2.4,2.3,29.8,jokicni01
126,Derrick Jones Jr.,SF,23,POR,2,0,5.0,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.4,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,jonesde02
127,Tyus Jones,PG,24,MEM,5,0,9.4,1.2,3.4,0.353,0.2,0.8,0.25,1.0,2.6,0.385,0.382,0.4,0.4,1.0,0.2,1.2,1.4,1.2,0.2,0.0,0.0,0.2,3.0,jonesty01
128,Frank Kaminsky,C,27,PHO,10,0,6.8,1.0,2.2,0.455,0.1,0.5,0.2,0.9,1.7,0.529,0.477,0.1,0.1,1.0,0.2,1.2,1.4,1.4,0.2,0.3,0.4,0.9,2.2,kaminfr01
129,Luke Kennard,SG,24,LAC,15,0,14.6,2.1,4.3,0.477,1.4,3.4,0.412,0.7,0.9,0.714,0.638,0.1,0.1,0.5,0.3,0.6,0.9,0.5,0.1,0.0,0.2,1.0,5.6,kennalu01
130,Maxi Kleber,PF,29,DAL,7,4,26.7,1.7,4.3,0.4,1.1,2.9,0.4,0.6,1.4,0.4,0.533,0.7,1.0,0.714,0.7,2.9,3.6,1.4,0.4,0.0,0.1,2.7,5.3,klebima01
131,Nathan Knight,PF,23,ATL,6,0,2.3,0.3,1.2,0.286,0.0,0.3,0.0,0.3,0.8,0.4,0.286,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.3,0.7,knighna01
132,Kevin Knox,SF,21,NYK,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,knoxke01
133,John Konchar,SG,24,MEM,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,konchjo01
134,Furkan Korkmaz,SG,23,PHI,12,4,16.3,2.5,6.1,0.411,1.2,3.7,0.318,1.3,2.4,0.552,0.507,0.8,1.2,0.714,0.3,1.7,2.0,0.6,0.6,0.3,0.4,0.8,7.0,korkmfu01
135,Luke Kornet,C,25,BOS,2,0,2.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,kornelu01
136,Kyle Kuzma,SF,25,LAL,6,0,21.5,2.3,8.0,0.292,0.7,3.8,0.174,1.7,4.2,0.4,0.333,1.0,1.5,0.667,0.7,3.2,3.8,1.2,0.3,0.2,1.0,1.3,6.3,kuzmaky01
137,Romeo Langford,SG,21,BOS,4,2,27.3,3.3,8.0,0.406,1.5,4.3,0.353,1.8,3.8,0.467,0.5,1.0,1.0,1.0,1.3,1.3,2.5,1.3,0.8,0.5,0.3,0.5,9.0,langfro01
138,T.J. Leaf,PF,23,POR,3,0,2.3,1.0,1.3,0.75,0.0,0.0,,1.0,1.3,0.75,0.75,0.0,0.0,,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.0,2.0,leaftj01
139,Alex Len,C,27,WAS,5,3,8.4,1.6,2.8,0.571,0.0,0.0,,1.6,2.8,0.571,0.571,0.8,1.4,0.571,0.8,1.4,2.2,0.4,0.2,0.0,0.2,1.6,4.0,lenal01
140,Kawhi Leonard,SF,29,LAC,11,11,39.3,11.1,19.4,0.573,2.2,5.5,0.393,8.9,13.8,0.645,0.629,6.0,6.8,0.88,2.0,5.7,7.7,4.4,2.1,0.8,2.2,2.6,30.4,leonaka01
141,Damian Lillard,PG,30,POR,6,6,41.3,10.3,22.3,0.463,5.8,13.0,0.449,4.5,9.3,0.482,0.593,7.8,8.3,0.94,0.2,4.2,4.3,10.2,1.0,0.7,2.2,1.5,34.3,lillada01
142,Nassir Little,PF,20,POR,3,0,3.0,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,,0.375,0.7,1.3,0.5,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,1.7,littlna01
143,Brook Lopez,C,32,MIL,23,23,29.0,5.2,9.4,0.548,1.0,3.1,0.319,4.2,6.3,0.662,0.601,1.6,1.9,0.86,2.1,3.8,5.9,0.3,0.7,1.5,1.1,2.1,13.0,lopezbr01
144,Robin Lopez,C,32,WAS,5,0,14.6,3.6,5.0,0.72,0.0,0.0,,3.6,5.0,0.72,0.72,0.2,0.8,0.25,0.8,1.0,1.8,0.0,0.0,0.8,0.2,1.4,7.4,lopezro01
145,Timothe Luwawu-Cabarrot,SF,25,BRK,7,0,3.6,0.4,1.4,0.3,0.3,0.9,0.333,0.1,0.6,0.25,0.4,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.1,1.1,luwawti01
146,Terance Mann,SG,24,LAC,19,6,19.9,2.8,5.5,0.519,0.8,1.9,0.432,2.0,3.5,0.567,0.596,1.1,1.5,0.714,0.9,1.8,2.7,0.7,0.5,0.3,0.2,2.2,7.6,mannte01
147,Boban Marjanovic,C,32,DAL,4,3,20.8,5.0,9.8,0.513,0.0,0.0,,5.0,9.8,0.513,0.513,1.8,2.3,0.778,3.5,4.5,8.0,1.0,0.0,0.3,1.0,3.3,11.8,marjabo01
148,Garrison Mathews,SG,24,WAS,3,0,5.7,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,1.7,0.8,0.0,0.7,0.7,0.0,0.0,0.0,0.0,1.3,1.3,mathega01
149,Wesley Matthews,SG,34,LAL,6,1,18.3,1.7,5.5,0.303,1.2,4.2,0.28,0.5,1.3,0.375,0.409,1.0,1.0,1.0,0.8,0.8,1.7,0.3,0.3,0.0,0.0,2.2,5.5,matthwe02
150,Tyrese Maxey,SG,20,PHI,12,0,13.0,2.4,5.5,0.439,0.3,1.0,0.333,2.1,4.5,0.463,0.47,1.2,1.8,0.636,0.1,1.8,1.8,1.3,0.3,0.5,0.4,1.3,6.3,maxeyty01
151,Skylar Mays,SG,23,ATL,7,0,2.4,0.6,0.7,0.8,0.0,0.0,,0.6,0.7,0.8,0.8,0.0,0.0,,0.0,0.3,0.3,0.1,0.3,0.0,0.1,0.1,1.1,mayssk01
152,CJ McCollum,SG,29,POR,6,6,40.0,8.3,19.0,0.439,2.3,7.0,0.333,6.0,12.0,0.5,0.5,1.7,2.2,0.769,1.0,5.0,6.0,4.3,0.3,0.7,2.0,4.2,20.7,mccolcj01
153,JaVale McGee,C,33,DEN,4,0,8.5,0.8,2.5,0.3,0.0,0.5,0.0,0.8,2.0,0.375,0.3,0.5,1.5,0.333,0.8,2.3,3.0,0.8,0.3,1.3,0.3,1.0,2.0,mcgeeja01
154,Alfonzo McKinnie,SF,28,LAL,2,0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,mckinal01
155,Ben McLemore,SG,27,LAL,4,0,9.0,0.5,2.3,0.222,0.5,1.5,0.333,0.0,0.8,0.0,0.333,0.0,0.0,,0.3,1.5,1.8,0.3,0.3,0.0,0.3,1.3,1.5,mclembe01
156,Nicolo Melli,PF,30,DAL,3,0,6.3,0.0,1.3,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,,0.7,1.3,2.0,0.0,0.3,0.0,0.0,1.0,0.0,mellini01
157,De'Anthony Melton,PG,22,MEM,5,0,16.6,2.2,6.2,0.355,1.2,4.0,0.3,1.0,2.2,0.455,0.452,0.6,1.0,0.6,0.8,2.4,3.2,1.0,0.2,0.8,0.6,1.4,6.2,meltode01
158,Sam Merrill,SG,24,MIL,8,0,3.8,0.3,0.9,0.286,0.1,0.6,0.2,0.1,0.3,0.5,0.357,0.0,0.0,,0.1,0.5,0.6,0.1,0.5,0.0,0.1,0.3,0.6,merrisa01
159,Khris Middleton,SF,29,MIL,23,23,40.1,8.6,19.7,0.438,2.6,7.6,0.343,6.0,12.0,0.498,0.504,3.7,4.2,0.887,1.1,6.5,7.6,5.1,1.5,0.2,3.2,2.5,23.6,middlkh01
160,Paul Millsap,PF,35,DEN,9,0,12.1,2.4,5.6,0.44,0.7,2.6,0.261,1.8,3.0,0.593,0.5,0.9,1.4,0.615,1.0,2.9,3.9,1.7,0.3,0.7,0.9,1.6,6.4,millspa01
161,Shake Milton,SG,24,PHI,12,0,10.1,1.3,3.9,0.319,0.7,1.6,0.421,0.6,2.3,0.25,0.404,1.2,1.3,0.933,0.0,0.8,0.8,0.8,0.3,0.1,0.9,1.5,4.3,miltosh01
162,Donovan Mitchell,PG,24,UTA,10,10,34.6,10.5,23.5,0.447,5.0,11.5,0.435,5.5,12.0,0.458,0.553,6.3,7.6,0.829,0.3,3.9,4.2,5.5,1.1,0.2,2.8,2.0,32.3,mitchdo01
163,E'Twaun Moore,SG,31,PHO,7,0,6.6,1.1,2.6,0.444,0.1,0.7,0.2,1.0,1.9,0.538,0.472,0.0,0.0,,0.0,1.4,1.4,1.3,0.1,0.0,0.4,0.4,2.4,mooreet01
164,Ja Morant,PG,21,MEM,5,5,40.6,11.0,22.6,0.487,2.0,6.2,0.323,9.0,16.4,0.549,0.531,6.2,8.0,0.775,1.4,3.4,4.8,8.2,0.4,0.0,3.4,1.8,30.2,moranja01
165,Juwan Morgan,PF,23,UTA,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,morgaju01
166,Marcus Morris,PF,31,LAC,19,18,31.8,4.5,10.5,0.43,1.9,5.1,0.375,2.6,5.5,0.481,0.52,1.3,1.7,0.75,0.7,3.6,4.3,1.5,0.5,0.5,0.4,2.6,12.2,morrima03
167,Markieff Morris,PF,31,LAL,4,1,9.5,0.5,2.3,0.222,0.3,1.0,0.25,0.3,1.3,0.2,0.278,1.0,1.5,0.667,1.0,0.0,1.0,0.8,0.0,0.3,0.5,1.5,2.3,morrima02
168,Monte Morris,PG,25,DEN,10,1,28.6,5.0,11.6,0.431,1.6,4.0,0.4,3.4,7.6,0.447,0.5,2.1,2.9,0.724,0.7,1.7,2.4,5.5,1.0,0.2,0.7,1.2,13.7,morrimo01
169,Abdel Nader,SF,27,PHO,5,0,5.8,0.4,1.2,0.333,0.0,0.4,0.0,0.4,0.8,0.5,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,naderab01
