Player,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,2P%,eFG%,FT%,Season,Salary,Rating,Cap Maximum,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Gary Harris,20,55,6,13.1,1.2,3.9,0.4,1.9,0.8,2.1,0.6,0.9,0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4,0.308,0.211,0.381,0.359,0.667,2015,13.0,71,70.0,0,0,0,0,1
Giannis Antetokounmpo,20,87,77,64.9,9.0,21.4,0.1,0.7,8.9,20.8,6.0,8.1,3.2,10.5,13.7,5.3,1.4,2.5,3.9,6.1,24.2,0.421,0.143,0.428,0.423,0.741,2015,45.64,74,70.0,0,0,0,0,1
Gordon Hayward,24,76,76,34.4,6.4,14.3,1.6,4.3,4.8,10.0,4.9,6.1,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3,0.448,0.372,0.48,0.503,0.803,2015,31.5,81,70.0,0,0,0,1,0
Harrison Barnes,22,103,103,60.7,8.1,17.5,2.1,5.6,5.9,12.0,2.5,3.4,3.5,7.2,10.7,2.9,1.5,0.7,1.9,3.9,20.7,0.463,0.375,0.492,0.523,0.735,2015,17.0,76,70.0,0,0,0,1,0
Isaiah Thomas,25,138,2,107.3,19.8,50.1,6.8,20.8,13.2,29.3,21.9,24.3,1.7,8.2,9.8,20.3,3.3,0.2,10.1,9.1,68.1,0.395,0.327,0.451,0.463,0.901,2015,0.184,80,70.0,0,0,1,0,0
JaVale McGee,27,46,0,32.8,5.1,10.0,0.0,0.0,5.1,10.0,2.5,3.8,2.3,5.4,7.7,0.5,0.2,2.2,2.4,3.2,12.8,0.51,0.0,0.51,0.51,0.658,2015,5.545,74,70.0,1,0,0,0,0
Jae Crowder,24,168,35,79.9,11.3,25.1,2.8,9.5,8.4,15.6,5.9,7.7,4.5,10.0,14.4,5.0,3.5,1.7,3.0,8.1,31.6,0.45,0.295,0.538,0.506,0.766,2015,3.196,72,70.0,0,0,0,1,0
James Harden,25,98,98,74.2,15.6,35.4,5.0,13.2,10.6,22.3,18.4,20.7,1.6,9.7,11.4,14.5,3.5,1.1,8.5,5.5,54.6,0.441,0.379,0.475,0.511,0.889,2015,35.681,88,70.0,0,0,0,0,1
James Johnson,27,72,17,25.6,4.4,8.8,0.2,0.7,4.2,8.0,1.0,4.5,0.9,3.8,4.7,1.9,0.8,1.0,1.1,2.2,9.9,0.5,0.286,0.525,0.511,0.222,2015,3.839,70,70.0,0,1,0,0,0
Jeff Green,28,167,142,121.9,19.5,47.5,4.1,13.1,15.4,34.5,11.4,13.7,3.2,14.1,17.4,6.8,2.6,1.8,5.8,7.3,54.6,0.411,0.313,0.446,0.454,0.832,2015,9.6,78,70.0,0,0,0,1,0
Jerami Grant,20,65,11,21.2,1.9,5.4,0.8,2.4,1.2,3.0,1.8,3.0,0.8,2.3,3.0,1.2,0.6,1.0,1.3,2.2,6.3,0.352,0.333,0.4,0.426,0.6,2015,27.586,68,70.0,0,0,0,1,0
Jimmy Butler,25,77,77,80.9,14.3,31.8,3.4,9.0,10.9,22.9,10.8,13.1,3.3,8.2,11.4,6.5,4.2,1.4,3.2,4.0,42.9,0.45,0.378,0.476,0.503,0.824,2015,45.184,80,70.0,0,0,0,0,1
Joe Harris,23,57,1,12.4,1.2,3.4,0.8,2.1,0.5,1.2,0.7,1.0,0.1,0.9,1.0,0.7,0.1,0.0,0.7,1.4,4.0,0.353,0.381,0.417,0.471,0.7,2015,19.929,68,70.0,0,0,0,0,1
Joe Ingles,27,79,32,21.2,1.9,4.5,0.9,2.6,0.9,1.9,0.4,0.5,0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5.0,0.422,0.346,0.474,0.522,0.8,2015,11.0,69,70.0,0,0,0,1,0
Jonas Valanciunas,22,84,84,52.7,9.5,17.7,0.0,0.0,9.5,17.6,4.5,5.5,5.0,13.0,18.0,1.0,0.9,1.5,2.4,4.6,23.3,0.537,0.0,0.54,0.537,0.818,2015,15.435,78,70.0,1,0,0,0,0
Jordan Clarkson,22,59,38,25.0,4.5,10.1,0.6,2.1,3.9,8.1,2.2,2.7,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9,0.446,0.286,0.481,0.475,0.815,2015,23.488,70,70.0,0,0,1,0,0
Jrue Holiday,24,43,37,50.9,8.3,19.7,1.6,4.7,6.7,15.0,2.9,3.2,1.5,2.9,4.4,11.2,2.3,0.9,4.0,3.8,21.1,0.421,0.34,0.447,0.462,0.906,2015,36.862,82,70.0,0,0,1,0,0
Julius Randle,20,1,0,14.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.333,0.0,0.333,0.333,0.0,2015,28.227,76,70.0,0,1,0,0,0
Justin Holiday,25,123,8,24.4,3.2,8.4,1.4,3.8,1.8,4.4,1.2,1.6,0.4,2.2,2.6,1.8,1.4,0.4,1.4,2.0,9.2,0.381,0.368,0.409,0.464,0.75,2015,3.196,64,70.0,0,0,0,0,1
Jusuf Nurkic,20,62,27,17.8,2.8,6.2,0.0,0.0,2.8,6.1,1.4,2.1,2.0,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9,0.452,0.0,0.459,0.452,0.667,2015,16.875,69,70.0,1,0,0,0,0
Kawhi Leonard,23,135,135,99.3,19.8,41.2,3.6,9.7,16.1,31.5,10.3,12.8,4.5,17.4,21.8,7.6,5.7,2.2,5.1,6.6,53.3,0.481,0.371,0.511,0.524,0.805,2015,45.64,85,70.0,0,0,0,1,0
Kelly Olynyk,23,68,13,35.5,5.7,11.6,1.8,4.2,4.0,7.3,1.8,2.6,1.9,4.1,6.0,2.2,1.5,1.1,2.5,6.3,14.8,0.491,0.429,0.548,0.569,0.692,2015,12.195,74,70.0,1,0,0,0,0
Kentavious Caldwell-Pope,21,82,82,31.5,4.8,11.9,1.9,5.4,2.9,6.4,1.3,1.9,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2.0,12.7,0.403,0.352,0.453,0.483,0.684,2015,14.705,72,70.0,0,0,0,0,1
Kevin Durant,26,27,27,33.8,8.8,17.3,2.4,5.9,6.4,11.4,5.4,6.3,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4,0.509,0.407,0.561,0.578,0.857,2015,47.649,95,70.0,0,0,0,1,0
Kevin Love,26,79,79,60.6,9.8,23.0,4.2,10.5,5.6,12.5,6.9,9.1,3.4,13.4,16.7,4.7,1.0,1.0,3.1,4.9,30.7,0.426,0.4,0.448,0.517,0.758,2015,3.836,89,70.0,0,1,0,0,0
Khris Middleton,23,85,64,68.8,10.9,26.3,3.2,9.1,7.8,17.3,4.0,4.5,1.8,6.3,8.1,4.3,3.8,0.6,3.1,4.6,29.2,0.414,0.352,0.451,0.475,0.889,2015,29.321,75,70.0,0,0,0,1,0
Klay Thompson,24,98,98,68.1,14.9,32.8,5.8,14.1,9.1,18.8,4.6,5.4,0.8,6.3,7.1,5.5,1.9,1.7,3.9,4.6,40.3,0.454,0.411,0.484,0.543,0.852,2015,43.219,82,70.0,0,0,0,0,1
Kyle Anderson,21,33,8,10.8,0.9,2.7,0.1,0.3,0.8,2.4,0.3,0.4,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2,0.333,0.333,0.333,0.352,0.75,2015,9.22,67,70.0,0,0,0,1,0
Kyle Lowry,28,74,74,67.3,10.6,29.2,3.2,11.4,7.6,17.8,5.6,7.3,2.6,7.7,10.2,11.6,2.9,0.2,5.5,7.5,30.1,0.363,0.281,0.427,0.418,0.767,2015,29.683,85,70.0,0,0,1,0,0
Kyrie Irving,22,88,88,72.1,13.9,30.7,4.2,9.6,9.8,21.0,8.7,10.2,1.5,5.2,6.8,9.0,2.8,1.1,4.0,4.1,40.7,0.453,0.438,0.467,0.521,0.853,2015,37.037,86,70.0,0,0,1,0,0
LeBron James,30,89,89,78.3,20.4,45.7,3.0,10.4,17.4,35.3,11.5,16.1,2.6,14.8,17.3,15.9,3.3,1.8,8.0,4.9,55.4,0.446,0.288,0.493,0.479,0.714,2015,47.607,98,70.0,0,0,0,1,0
Marcus Morris,25,81,35,25.2,4.1,9.4,1.4,3.9,2.7,5.6,0.9,1.4,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4,0.436,0.359,0.482,0.511,0.643,2015,16.804,75,70.0,0,1,0,0,0
Marcus Smart,20,71,41,49.5,6.1,14.4,2.2,7.4,4.1,7.1,3.2,5.7,2.2,3.9,6.1,4.4,1.8,0.6,2.3,5.6,17.6,0.424,0.297,0.577,0.5,0.561,2015,18.584,76,70.0,0,0,1,0,0
Markieff Morris,25,82,82,31.5,6.2,13.4,0.7,2.2,5.5,11.2,2.2,2.8,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3.0,15.3,0.463,0.318,0.491,0.489,0.786,2015,3.196,78,70.0,0,1,0,0,0
Mason Plumlee,24,88,45,29.5,4.1,7.0,0.0,0.0,4.1,6.9,2.6,5.7,2.4,5.1,7.5,1.2,1.5,1.1,1.8,4.2,10.7,0.586,0.0,0.594,0.586,0.456,2015,5.0,77,70.0,1,0,0,0,0
Mike Conley,27,148,148,94.0,16.3,37.2,4.3,12.1,12.1,25.1,9.1,10.7,0.8,6.3,7.1,15.8,4.0,0.4,5.9,5.3,46.0,0.438,0.355,0.482,0.496,0.85,2015,24.36,83,70.0,0,0,1,0,0
Mike Muscala,23,50,8,22.8,4.1,7.1,0.4,1.4,3.7,5.7,0.6,0.6,2.1,2.7,4.8,0.7,0.5,0.8,0.9,2.6,9.1,0.577,0.286,0.649,0.606,1.0,2015,3.445,68,70.0,0,1,0,0,0
Nerlens Noel,20,75,71,30.8,4.0,8.7,0.0,0.0,4.0,8.7,1.9,3.1,2.5,5.7,8.1,1.7,1.8,1.9,1.9,2.8,9.9,0.46,0.0,0.46,0.46,0.613,2015,0.3,76,70.0,1,0,0,0,0
Nicolas Batum,26,76,76,75.3,8.2,22.5,4.0,12.2,4.2,10.3,3.2,4.0,2.1,12.4,14.5,10.0,1.3,0.8,4.3,3.7,23.6,0.364,0.328,0.408,0.453,0.8,2015,11.711,79,70.0,0,0,0,1,0
Nik Stauskas,21,73,1,15.4,1.5,4.1,0.7,2.0,0.8,2.0,0.8,0.9,0.2,1.1,1.2,0.9,0.3,0.2,0.5,1.3,4.4,0.366,0.35,0.4,0.451,0.889,2015,0.702,74,70.0,0,0,0,0,1
Nikola Vucevic,24,74,74,34.2,8.5,16.3,0.0,0.1,8.5,16.2,2.2,2.9,3.2,7.7,10.9,2.0,0.7,0.7,2.0,3.0,19.3,0.521,0.0,0.525,0.521,0.759,2015,18.519,80,70.0,1,0,0,0,0
Otto Porter,21,84,13,52.5,6.3,14.1,1.7,4.6,4.6,9.5,1.8,3.2,3.3,7.6,11.0,2.7,1.8,0.6,1.3,2.9,16.0,0.447,0.37,0.484,0.507,0.562,2015,6.3,68,70.0,0,0,0,1,0
PJ Tucker,29,78,63,30.6,3.3,7.6,1.1,3.2,2.2,4.4,1.3,1.8,1.5,5.0,6.4,1.6,1.4,0.3,1.2,2.3,9.1,0.434,0.344,0.5,0.507,0.722,2015,11.014,76,70.0,0,0,0,1,0
Patrick Beverley,26,56,55,30.8,3.6,9.5,2.1,5.8,1.6,3.7,0.8,1.1,1.2,3.0,4.2,3.4,1.1,0.4,1.5,3.3,10.1,0.379,0.362,0.432,0.489,0.727,2015,3.196,78,70.0,0,0,1,0,0
Paul George,24,6,0,15.2,3.0,8.2,1.5,3.7,1.5,4.5,1.3,1.8,0.7,3.0,3.7,1.0,0.8,0.2,2.0,1.8,8.8,0.366,0.405,0.333,0.457,0.722,2015,45.64,89,70.0,0,0,0,1,0
Reggie Bullock,23,72,4,26.7,1.7,5.6,1.0,3.5,0.7,2.1,0.6,0.9,0.1,3.8,3.9,0.6,0.8,0.4,0.6,1.4,4.9,0.304,0.286,0.333,0.393,0.667,2015,14.211,69,70.0,0,0,0,1,0
Reggie Jackson,24,154,80,89.7,17.4,40.0,2.8,9.4,14.5,30.7,7.4,8.9,2.3,10.6,12.9,19.5,2.3,0.3,7.7,6.8,44.9,0.435,0.298,0.472,0.47,0.831,2015,5.0,78,70.0,0,0,1,0,0
Ricky Rubio,24,22,22,31.5,3.5,10.0,0.6,2.3,3.0,7.6,2.6,3.2,0.9,4.8,5.7,8.8,1.7,0.0,2.9,2.7,10.3,0.35,0.261,0.395,0.38,0.812,2015,3.722,79,70.0,0,0,1,0,0
Robert Covington,24,70,49,27.9,4.3,10.8,2.4,6.4,1.9,4.4,2.5,3.1,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5,0.398,0.375,0.432,0.509,0.806,2015,11.692,69,70.0,0,0,0,1,0
Robin Lopez,26,64,64,51.2,5.8,10.4,0.0,0.0,5.8,10.4,3.3,3.8,5.0,6.1,11.1,1.5,0.5,2.4,2.2,5.1,14.8,0.558,0.0,0.558,0.558,0.868,2015,3.196,77,70.0,1,0,0,0,0
Rudy Gay,28,68,67,35.4,7.5,16.4,1.2,3.2,6.3,13.2,5.0,5.8,1.4,4.4,5.9,3.7,1.0,0.6,2.7,2.3,21.1,0.457,0.375,0.477,0.494,0.862,2015,6.479,82,70.0,0,0,0,1,0
Rudy Gobert,22,82,37,26.3,3.1,5.2,0.0,0.0,3.1,5.2,2.1,3.3,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4,0.596,0.0,0.596,0.596,0.636,2015,41.0,71,70.0,1,0,0,0,0
Russell Westbrook,26,67,67,34.4,9.4,22.0,1.3,4.3,8.1,17.7,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,0.427,0.302,0.458,0.457,0.827,2015,3.836,88,70.0,0,0,1,0,0
Seth Curry,24,2,0,4.0,0.0,1.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,4.0,65,70.0,0,0,1,0,0
Spencer Dinwiddie,21,34,1,13.4,1.5,5.0,0.4,1.9,1.1,3.1,0.9,1.0,0.1,1.3,1.4,3.1,0.6,0.2,1.0,1.6,4.3,0.3,0.211,0.355,0.34,0.9,2015,21.912,69,70.0,0,0,1,0,0
Stephen Curry,26,101,101,72.0,17.7,37.7,8.3,19.1,9.5,18.6,8.5,9.7,1.7,7.6,9.3,14.1,3.9,0.3,7.0,4.2,52.1,0.469,0.435,0.511,0.58,0.876,2015,51.916,89,70.0,0,0,1,0,0
Steven Adams,21,70,67,25.3,3.1,5.7,0.0,0.0,3.1,5.7,1.5,2.9,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,0.544,0.0,0.544,0.544,0.517,2015,12.6,74,70.0,1,0,0,0,0
TJ Warren,21,40,1,15.4,2.8,5.4,0.1,0.5,2.7,4.8,0.4,0.5,1.0,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1,0.519,0.2,0.563,0.528,0.8,2015,0.648,72,70.0,0,0,0,1,0
Taj Gibson,29,74,19,50.3,6.9,14.2,0.0,0.0,6.9,14.2,3.9,5.5,4.7,7.2,11.9,2.1,0.9,2.2,2.1,4.7,17.7,0.486,0.0,0.486,0.486,0.709,2015,4.776,80,70.0,0,1,0,0,0
Thaddeus Young,26,158,142,126.7,22.5,48.8,1.6,5.4,20.9,43.4,5.8,9.8,8.0,15.6,23.6,9.2,5.6,1.2,6.9,9.2,52.7,0.461,0.296,0.482,0.477,0.592,2015,9.01,78,70.0,0,1,0,0,0
Tim Hardaway Jr,22,70,30,24.0,4.0,10.2,1.7,5.1,2.3,5.2,1.8,2.2,0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5,0.392,0.333,0.442,0.475,0.818,2015,17.898,77,70.0,0,0,0,0,1
Tobias Harris,22,68,63,34.8,6.5,14.0,1.3,3.5,5.2,10.4,2.8,3.6,1.1,5.3,6.3,1.8,1.0,0.5,1.7,2.0,17.1,0.464,0.371,0.5,0.511,0.778,2015,39.27,76,70.0,0,0,0,1,0
Tristan Thompson,23,102,30,63.2,6.9,12.5,0.0,0.0,6.9,12.5,4.3,7.1,7.7,11.1,18.8,1.0,0.7,1.9,1.8,4.8,18.1,0.552,0.0,0.552,0.552,0.606,2015,3.196,76,70.0,0,1,0,0,0
Victor Oladipo,22,72,71,35.7,6.6,15.1,1.2,3.4,5.4,11.6,3.6,4.4,0.7,3.5,4.2,4.1,1.7,0.3,2.8,2.6,17.9,0.437,0.353,0.466,0.477,0.818,2015,9.45,78,70.0,0,0,0,0,1
Wesley Matthews,28,120,120,67.4,11.2,25.0,5.8,14.8,5.4,10.2,3.6,4.8,1.2,6.2,7.4,4.6,2.6,0.4,2.8,4.4,31.8,0.448,0.392,0.529,0.564,0.75,2015,3.196,78,70.0,0,0,0,0,1
Zach LaVine,19,77,40,24.7,3.7,8.8,0.7,2.2,3.0,6.6,1.9,2.3,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1,0.42,0.318,0.455,0.46,0.826,2015,40.064,72,70.0,0,0,1,0,0
Aaron Gordon,20,156,74,47.8,7.0,14.8,1.0,3.6,6.0,11.2,3.4,5.0,4.0,9.0,13.0,3.2,1.6,1.4,1.6,4.0,18.4,0.473,0.278,0.536,0.507,0.68,2016,22.266,74,94.143,0,1,0,0,0
Al Horford,29,92,92,64.8,11.9,24.4,2.2,5.9,9.7,18.5,2.8,3.2,3.1,10.7,13.8,6.2,2.0,3.9,3.0,4.5,28.6,0.488,0.373,0.524,0.533,0.875,2016,10.0,83,94.143,1,0,0,0,0
Alec Burks,24,31,3,25.7,4.4,10.8,1.0,2.5,3.4,8.2,3.4,4.5,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3,0.407,0.4,0.415,0.454,0.756,2016,10.49,76,94.143,0,0,0,0,1
Alex Len,22,78,46,23.3,3.4,8.0,0.0,0.1,3.4,7.9,2.2,3.1,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9.0,0.425,0.0,0.43,0.425,0.71,2016,3.196,74,94.143,1,0,0,0,0
Andre Drummond,22,85,85,65.7,13.8,26.6,0.0,0.4,13.8,26.3,5.4,15.7,7.9,15.9,23.8,0.8,1.8,2.9,2.9,5.0,33.0,0.519,0.0,0.525,0.519,0.344,2016,3.36,83,94.143,1,0,0,0,0
Andrew Nicholson,26,56,0,14.7,2.6,5.5,0.7,2.0,1.9,3.5,0.9,1.2,0.6,3.0,3.6,0.4,0.2,0.4,0.7,1.2,6.9,0.473,0.35,0.543,0.536,0.75,2016,2.844,68,94.143,0,1,0,0,0
Andrew Wiggins,20,81,81,35.1,7.3,16.0,0.7,2.3,6.6,13.6,5.3,7.0,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7,0.456,0.304,0.485,0.478,0.757,2016,24.33,80,94.143,0,0,0,1,0
Anthony Davis,22,61,61,35.5,9.2,18.6,0.6,1.8,8.6,16.9,5.3,7.0,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,0.495,0.333,0.509,0.511,0.757,2016,40.6,92,94.143,1,0,0,0,0
Bismack Biyombo,23,102,32,47.3,3.9,7.0,0.0,0.0,3.9,7.0,3.9,6.4,4.9,12.5,17.4,0.8,0.6,3.0,2.0,5.1,11.7,0.557,0.0,0.557,0.557,0.609,2016,6.194,72,94.143,1,0,0,0,0
Boban Marjanovic,27,68,4,21.4,4.1,6.6,0.0,0.0,4.1,6.6,3.8,4.7,2.6,5.0,7.6,1.2,0.2,1.0,1.3,3.8,12.3,0.621,0.0,0.621,0.621,0.809,2016,2.891,69,94.143,1,0,0,0,0
Bobby Portis,20,62,4,17.8,3.0,7.0,0.3,0.8,2.7,6.2,0.8,1.1,2.0,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7.0,0.429,0.375,0.435,0.45,0.727,2016,11.711,71,94.143,0,1,0,0,0
Bojan Bogdanovic,26,79,39,26.8,4.1,9.5,1.6,4.3,2.5,5.2,1.4,1.7,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2,0.432,0.372,0.481,0.516,0.824,2016,20.0,71,94.143,0,0,0,1,0
Bradley Beal,22,55,35,31.1,6.5,14.5,1.9,4.9,4.6,9.6,2.5,3.2,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4,0.448,0.388,0.479,0.514,0.781,2016,46.742,80,94.143,0,0,0,0,1
Brook Lopez,27,73,73,33.7,8.1,15.8,0.0,0.2,8.1,15.7,4.3,5.5,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,20.6,0.513,0.0,0.516,0.513,0.782,2016,25.0,83,94.143,1,0,0,0,0
CJ McCollum,24,91,91,75.0,15.6,35.8,4.3,11.2,11.4,24.6,5.7,7.0,1.2,5.7,6.8,7.6,2.1,0.8,4.3,5.0,41.3,0.436,0.384,0.463,0.496,0.814,2016,35.802,72,94.143,0,0,0,0,1
Cameron Payne,21,67,1,18.6,2.7,7.5,0.8,2.9,1.9,4.5,0.5,0.8,0.2,1.7,1.9,2.7,0.8,0.3,1.6,2.1,6.8,0.36,0.276,0.422,0.413,0.625,2016,9.391,72,94.143,0,0,1,0,0
Chris Paul,30,78,78,64.0,16.3,34.1,3.1,9.4,13.1,24.6,7.8,8.2,1.5,6.7,8.2,17.3,4.4,0.2,3.6,5.5,43.3,0.478,0.33,0.533,0.523,0.951,2016,30.8,90,94.143,0,0,1,0,0
Christian Wood,20,17,0,8.5,1.3,3.1,0.2,0.6,1.1,2.5,0.8,1.2,0.8,1.5,2.2,0.2,0.3,0.4,0.1,0.6,3.6,0.419,0.333,0.44,0.452,0.667,2016,2.71,67,94.143,0,1,0,0,0
Clint Capela,21,82,35,27.7,3.6,7.0,0.0,0.0,3.6,6.9,1.4,3.7,4.1,6.3,10.4,1.0,1.4,1.6,1.4,3.5,8.6,0.514,0.0,0.522,0.514,0.378,2016,20.616,70,94.143,1,0,0,0,0
Cody Zeller,23,80,62,43.9,6.2,11.4,0.0,0.1,6.2,11.2,4.8,6.2,3.2,8.3,11.5,1.3,0.9,1.3,1.9,5.7,17.1,0.544,0.0,0.554,0.544,0.774,2016,3.196,74,94.143,1,0,0,0,0
Cory Joseph,24,100,4,48.2,6.7,14.7,0.8,2.6,5.9,12.1,2.9,3.8,1.1,3.6,4.7,5.5,1.7,0.4,2.4,4.0,17.0,0.456,0.308,0.488,0.483,0.763,2016,3.196,74,94.143,0,0,0,0,1
D'Angelo Russell,19,80,48,28.2,4.9,12.0,1.6,4.6,3.3,7.3,1.8,2.4,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2,0.408,0.348,0.452,0.475,0.75,2016,17.308,77,94.143,0,0,1,0,0
Damian Lillard,25,86,86,75.4,16.3,41.7,6.9,17.8,9.5,23.8,12.0,13.3,1.7,6.6,8.3,13.1,2.2,0.7,6.2,4.3,51.6,0.391,0.388,0.399,0.474,0.902,2016,45.64,86,94.143,0,0,1,0,0
Danilo Gallinari,27,53,53,34.7,5.4,13.2,1.6,4.5,3.8,8.7,7.1,8.2,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5,0.409,0.356,0.437,0.47,0.866,2016,7.85,76,94.143,0,0,0,1,0
Danny Green,28,89,89,52.8,5.7,13.5,3.9,9.1,1.8,4.4,0.6,0.9,0.6,6.3,6.9,2.5,3.1,1.6,1.5,3.8,15.8,0.422,0.429,0.409,0.567,0.667,2016,0.5,76,94.143,0,0,0,0,1
DeAndre Jordan,27,83,83,66.7,8.6,12.9,0.0,0.0,8.6,12.9,7.2,17.8,8.5,21.6,30.1,3.0,1.9,5.0,2.6,5.5,24.4,0.667,0.0,0.667,0.667,0.404,2016,3.196,84,94.143,1,0,0,0,0
DeMar DeRozan,26,98,98,73.2,15.8,37.6,0.8,3.1,15.0,34.5,12.1,14.6,1.5,7.2,8.7,6.7,2.1,0.5,4.5,4.7,44.4,0.42,0.258,0.435,0.431,0.829,2016,28.6,83,94.143,0,0,0,0,1
Delon Wright,23,36,1,13.1,1.6,4.1,0.2,0.6,1.4,3.5,1.9,2.7,0.4,1.4,1.8,1.4,0.6,0.1,0.8,0.5,5.4,0.39,0.333,0.4,0.415,0.704,2016,8.195,70,94.143,0,0,1,0,0
Derrick Rose,27,66,66,31.8,6.8,15.9,0.7,2.3,6.1,13.6,2.2,2.7,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4,0.428,0.304,0.449,0.45,0.815,2016,3.196,82,94.143,0,0,1,0,0
Devin Booker,19,76,51,27.7,4.8,11.4,1.3,3.8,3.5,7.6,2.8,3.4,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3.0,13.8,0.421,0.342,0.461,0.478,0.824,2016,36.016,72,94.143,0,0,0,0,1
Dewayne Dedmon,26,58,20,12.2,1.7,3.1,0.0,0.0,1.7,3.1,1.0,1.3,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,0.548,0.0,0.548,0.548,0.769,2016,2.749,71,94.143,1,0,0,0,0
Doug McDermott,24,81,4,23.0,3.6,8.0,1.4,3.2,2.2,4.8,0.9,1.0,0.5,2.0,2.4,0.7,0.2,0.1,0.7,1.6,9.4,0.45,0.437,0.458,0.538,0.9,2016,13.75,68,94.143,0,0,0,1,0
Draymond Green,25,127,127,111.1,15.4,34.1,4.6,12.2,10.7,21.9,9.6,13.5,5.1,24.4,29.3,19.4,4.7,5.0,8.0,10.0,44.8,0.452,0.377,0.489,0.519,0.711,2016,22.321,82,94.143,0,1,0,0,0
Dwight Powell,24,73,2,30.4,4.4,9.1,0.0,0.5,4.4,8.6,3.0,4.9,3.5,4.7,8.3,1.6,0.8,0.3,0.9,3.0,11.8,0.484,0.0,0.512,0.484,0.612,2016,4.0,68,94.143,0,1,0,0,0
Eric Bledsoe,26,31,31,34.2,7.2,15.9,1.5,4.2,5.6,11.7,4.5,5.5,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4,0.453,0.357,0.479,0.5,0.818,2016,1.3,82,94.143,0,0,1,0,0
Eric Gordon,27,45,44,32.9,5.1,12.3,2.5,6.5,2.6,5.7,2.5,2.8,0.2,2.0,2.2,2.7,1.0,0.3,1.6,2.2,15.2,0.415,0.385,0.456,0.516,0.893,2016,3.196,78,94.143,0,0,0,0,1
Evan Fournier,23,79,71,32.5,5.4,11.8,2.0,4.9,3.5,6.8,2.5,3.0,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7,15.4,0.458,0.408,0.515,0.542,0.833,2016,18.857,72,94.143,0,0,0,1,0
Garrett Temple,29,80,43,24.4,2.5,6.3,1.1,3.2,1.4,3.1,1.1,1.6,0.5,2.2,2.7,1.8,0.9,0.2,0.8,2.4,7.3,0.397,0.344,0.452,0.484,0.688,2016,3.196,71,94.143,0,0,0,1,0
Gary Harris,21,76,76,32.1,4.7,10.1,1.4,3.9,3.3,6.2,1.4,1.8,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3,0.465,0.359,0.532,0.535,0.778,2016,13.0,65,94.143,0,0,0,0,1
Giannis Antetokounmpo,21,80,79,35.3,6.4,12.7,0.4,1.4,6.1,11.3,3.7,5.1,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,0.504,0.286,0.54,0.52,0.725,2016,45.64,81,94.143,0,0,1,0,0
