Player,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,2P%,eFG%,FT%,Season,Salary,Rating,Cap Maximum,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Rajon Rondo,23,105,105,77.2,12.0,24.8,0.6,2.0,11.4,22.8,5.0,8.3,2.8,7.2,10.0,19.1,4.2,0.2,6.0,4.8,29.5,0.484,0.3,0.5,0.496,0.602,2010,2.095,87,58.04,0,0,1,0,0
Randolph Morris,24,31,0,7.7,1.1,2.2,0.0,0.0,1.1,2.2,0.9,1.3,0.7,1.3,2.1,0.1,0.2,0.1,0.4,2.2,3.2,0.5,0.0,0.5,0.5,0.692,2010,0.855,49,58.04,0,1,0,0,0
Randy Foye,26,70,38,23.8,3.7,8.8,0.9,2.6,2.8,6.2,1.8,2.1,0.2,1.6,1.9,3.3,0.5,0.1,1.3,1.8,10.1,0.42,0.346,0.452,0.472,0.857,2010,3.576,71,58.04,0,0,1,0,0
Rashard Lewis,30,86,86,69.5,9.6,21.4,4.3,11.3,5.2,10.2,3.4,4.3,2.0,8.2,10.0,3.8,2.2,1.1,3.3,5.2,27.0,0.449,0.381,0.51,0.549,0.791,2010,18.876,75,58.04,0,1,0,0,0
Rasheed Wallace,35,103,14,39.6,5.6,13.4,1.8,6.0,3.7,7.5,2.2,2.8,0.7,6.4,7.1,1.4,1.4,1.5,1.2,6.2,15.1,0.418,0.3,0.493,0.485,0.786,2010,5.854,74,58.04,1,0,0,0,0
Rasual Butler,30,82,64,33.0,4.3,10.6,1.8,5.3,2.6,5.3,1.5,1.8,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9,0.406,0.34,0.491,0.491,0.833,2010,3.945,61,58.04,0,0,0,1,0
Ray Allen,34,104,104,73.7,11.3,24.9,4.1,11.0,7.1,13.8,5.8,6.5,1.1,5.4,6.5,5.2,1.7,0.4,3.1,5.4,32.4,0.454,0.373,0.514,0.536,0.892,2010,18.777,80,58.04,0,0,0,0,1
Raymond Felton,25,84,84,65.5,9.2,21.1,1.8,5.3,7.4,15.9,4.0,5.2,1.5,4.7,6.1,10.6,2.0,0.3,3.6,4.2,23.9,0.436,0.34,0.465,0.479,0.769,2010,5.501,74,58.04,0,0,1,0,0
Reggie Evans,29,28,1,11.1,1.2,2.5,0.0,0.0,1.2,2.5,1.0,2.1,1.1,2.7,3.8,0.3,0.5,0.1,0.8,1.6,3.4,0.48,0.0,0.48,0.48,0.476,2010,4.96,57,58.04,0,1,0,0,0
Renaldo Balkman,25,13,1,7.0,0.5,1.4,0.0,0.5,0.5,0.8,0.2,0.5,0.3,1.5,1.8,0.5,0.6,0.2,0.5,1.2,1.1,0.357,0.0,0.625,0.357,0.4,2010,2.112,67,58.04,0,0,0,1,0
Richard Hamilton,31,46,46,33.7,6.4,15.6,0.9,3.0,5.5,12.6,4.4,5.2,0.7,2.0,2.7,4.4,0.7,0.1,2.5,2.5,18.1,0.41,0.3,0.437,0.439,0.846,2010,11.625,78,58.04,0,0,0,0,1
Richard Jefferson,29,91,80,64.5,7.9,16.6,0.8,2.8,7.0,13.8,5.1,6.8,1.5,8.2,9.7,3.8,1.2,1.1,2.8,4.2,21.7,0.476,0.286,0.507,0.5,0.75,2010,14.2,76,58.04,0,0,0,1,0
Ricky Davis,30,36,2,13.9,1.7,4.0,0.4,1.2,1.3,2.8,0.5,0.9,0.3,1.3,1.6,1.1,0.3,0.1,0.8,1.1,4.4,0.425,0.333,0.464,0.475,0.556,2010,2.484,63,58.04,0,0,0,1,0
Rodney Stuckey,23,73,67,34.2,6.2,15.2,0.2,1.1,5.9,14.1,4.1,4.9,0.9,2.9,3.8,4.8,1.4,0.2,2.2,2.8,16.6,0.408,0.182,0.418,0.414,0.837,2010,1.805,73,58.04,0,0,1,0,0
Roger Mason,29,85,5,29.4,2.6,8.3,1.3,4.5,1.3,3.7,0.3,0.4,0.1,2.6,2.8,2.0,0.6,0.2,1.0,3.3,6.8,0.313,0.289,0.351,0.392,0.75,2010,3.78,71,58.04,0,0,0,0,1
Ronnie Brewer,24,116,106,77.4,8.1,17.8,0.3,1.1,7.8,16.8,3.8,5.7,1.8,6.2,8.0,6.1,4.4,0.6,2.3,2.9,20.3,0.455,0.273,0.464,0.463,0.667,2010,2.717,70,58.04,0,0,0,0,1
