name,overall,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_%,3-point_field_goals,3-point_field_goal_attempts,3-point_field_goal_%,2-point_field_goals,2-point_field_goal_attempts,2-point_field_goal_%,effective_field_goal_%,free_throws,free_throw_attempts,free_throw_%,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,salary,salary_adjusted
JaKarr Sampson,73,79,207,72,58,65,54,64,55,27,29,4,316,56,113,0.496,3,15,0.2,53,98,0.541,0.509,19,29,0.655,27,50,77,4,2,14,15,52,134,1882867,2228418
Isaiah Hartenstein,73,84,249,73,63,66,48,51,77,66,92,4,1118,188,342,0.55,4,12,0.333,184,330,0.558,0.556,92,142,0.648,130,232,362,110,38,78,88,208,472,1620564,1917976
Facundo Campazzo,73,71,165,72,46,71,80,61,40,29,65,19,1425,120,315,0.381,76,216,0.352,44,99,0.444,0.502,80,91,0.879,22,112,134,232,79,14,73,132,396,3200000,3787277
Tyler Johnson,73,75,190,73,53,67,69,51,41,28,39,3,684,72,183,0.393,48,132,0.364,24,51,0.471,0.525,18,21,0.857,6,71,77,47,14,0,17,43,210,2028594,2400890
Gary Clark,73,78,225,73,59,65,44,56,58,104,78,22,1308,80,264,0.303,62,216,0.287,18,48,0.375,0.42,16,20,0.8,66,164,230,62,26,14,34,70,238,2018458,2388893
Quinn Cook,73,73,179,77,45,66,74,45,39,81,46,0,314,58,136,0.426,22,52,0.423,36,84,0.429,0.507,14,16,0.875,4,30,34,36,8,2,14,20,152,1981649,2345329
Terance Mann,73,77,215,69,56,70,69,53,41,24,67,10,1263,178,350,0.509,38,91,0.418,140,259,0.541,0.563,78,94,0.83,56,186,242,104,29,13,40,126,472,1517981,1796567
Thon Maker,73,84,221,75,63,70,49,55,62,23,8,0,76,10,18,0.556,0,2,0.0,10,16,0.625,0.556,10,11,0.909,8,10,18,4,2,4,3,7,30,1737145,2055953
Dylan Windler,73,78,196,68,48,67,61,53,61,24,31,0,513,57,130,0.438,26,77,0.338,31,53,0.585,0.538,21,27,0.778,20,87,107,33,19,12,32,37,161,2137440,2529712
Damyean Dotson,73,77,210,70,51,70,63,53,40,26,46,7,907,119,293,0.406,46,159,0.289,73,134,0.545,0.485,24,36,0.667,5,88,93,91,16,4,42,42,308,2000000,2367048
Luke Kornet,73,86,250,75,67,60,46,53,50,75,62,4,696,88,202,0.436,30,118,0.254,58,84,0.69,0.51,6,12,0.5,28,106,134,48,8,64,14,40,212,2250000,2662929
Garrett Temple,73,77,195,71,50,64,64,62,41,34,56,25,1528,158,381,0.415,67,200,0.335,91,181,0.503,0.503,40,50,0.8,29,131,160,124,43,30,58,126,423,4767000,5641860
Pat Connaughton,73,77,209,76,51,71,61,52,59,28,69,4,1575,168,387,0.434,101,272,0.371,67,115,0.583,0.565,31,40,0.775,63,269,332,81,49,23,33,99,468,4938273,5844565
Mike Scott,73,79,237,75,62,63,39,52,57,32,51,12,852,76,211,0.36,53,155,0.342,23,56,0.411,0.486,8,12,0.667,11,109,120,40,24,14,19,72,213,5005350,5923953
Anzejs Pasecniks,72,85,229,67,62,68,34,52,68,25,1,0,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,0,1,1,0,0,5,2,0,374297,442989
Wayne Ellington,72,76,200,75,52,69,65,46,40,33,46,31,1012,149,338,0.441,116,275,0.422,33,63,0.524,0.612,28,35,0.8,12,73,85,67,18,9,33,59,442,3564753,4218971
Chuma Okeke,72,80,235,60,53,72,59,72,66,22,45,19,1133,135,324,0.417,49,141,0.348,86,183,0.47,0.492,30,40,0.75,42,139,181,101,48,22,38,48,349,3121080,3693873
Reggie Bullock,72,78,205,75,49,65,62,50,40,29,65,64,1949,248,561,0.442,163,398,0.41,85,163,0.521,0.587,50,55,0.909,16,207,223,99,52,11,45,146,709,4200000,4970801
Jerome Robinson,72,76,190,68,49,71,67,53,44,23,17,6,305,28,95,0.295,11,42,0.262,17,53,0.321,0.353,16,20,0.8,4,34,38,25,12,6,19,31,83,3737520,4423445
Alen Smailagic,72,82,216,61,61,69,55,54,59,20,15,1,84,11,27,0.407,4,10,0.4,7,17,0.412,0.481,2,6,0.333,6,10,16,4,3,5,5,11,28,1517981,1796567
Nassir Little,72,77,224,64,59,76,51,60,54,20,48,2,640,78,167,0.467,28,80,0.35,50,87,0.575,0.551,36,45,0.8,32,96,128,23,5,13,18,51,220,2210640,2616346
Jaden McDaniels,72,82,201,66,58,73,54,55,51,20,63,27,1511,164,367,0.447,72,198,0.364,92,169,0.544,0.545,27,45,0.6,52,180,232,71,35,60,47,172,427,1964760,2325341
Naz Reid,72,81,256,70,61,67,53,60,68,21,70,15,1347,304,581,0.523,61,174,0.351,243,407,0.597,0.576,115,166,0.693,82,240,322,72,34,76,69,179,784,1517981,1796567
Aleksej Pokusevski,72,84,195,68,62,62,54,62,61,19,45,28,1090,139,408,0.341,58,207,0.28,81,201,0.403,0.412,31,42,0.738,30,182,212,97,20,42,99,58,367,2964840,3508960
Darius Bazley,72,80,208,67,60,70,51,53,56,20,55,55,1714,273,690,0.396,83,286,0.29,190,404,0.47,0.456,125,178,0.702,51,345,396,99,29,25,122,60,754,2399160,2839464
Luguentz Dort,72,75,215,68,54,78,58,63,38,21,52,52,1543,247,639,0.387,113,329,0.343,134,310,0.432,0.475,122,164,0.744,38,151,189,88,45,19,79,134,729,1517981,1796567
Jevon Carter,72,73,196,70,45,72,67,65,45,25,60,1,717,94,223,0.422,56,151,0.371,38,72,0.528,0.547,4,7,0.571,16,76,92,71,29,9,16,56,248,3925000,4645332
Bruno Caboclo,72,81,218,67,51,67,56,64,66,25,6,0,36,8,17,0.471,0,5,0.0,8,12,0.667,0.471,1,2,0.5,3,11,14,1,0,2,4,6,17,2028594,2400890
