player,2020,2021,2022,2023
Dwight Powell,9258000,9505100,9946611,11080125
Paolo Banchero,9073050,9400000,9937150,11055120
RJ Barrett,9000000,9258000,9720900,10900634
Bobby Portis,8730240,9258000,9720900,10843350
DeAndre Jordan,8719320,9258000,9720900,10733758
Anthony Edwards,8664928,9258000,9720900,10733400
Robert Williams,8556120,9258000,9720900,10714287
Cade Cunningham,8529386,9258000,9603360,10552800
PJ Tucker,8349039,9250000,9536000,10490000
Derrick Favors,8156500,9166800,9536000,10350803
Mo Bamba,8139282,9000000,9500000,10300000
Talen Horton-Tucker,8113929,8963640,9248333,10260000
Jae Crowder,8000000,8840580,9180560,10183800
Ivica Zubac,8000000,8817143,9166800,10123457
Reggie Bullock,8000000,8730240,8992080,10012800
Alec Burks,8000000,8500000,8805976,10012800
Chet Holmgren,8000000,8475000,8800000,9891240
De'Andre Hunter,7839960,8333333,8800000,9835881
Larry Nance Jr,7830000,8231760,8750000,9672727
James Wiseman,7815533,8101852,8750000,9603360
Landry Shamet,7683360,8099627,8666667,9500000
Malik Monk,7666667,8049360,8623920,9472219
Jalen Green,7461380,8000000,8600000,9441840
Jakob Poeltl,7339258,8000000,8526316,9398148
Nerlens Noel,7333333,7969537,8510000,9391069
Nicolas Claxton,7333333,7839960,8449074,9350000
Dario Saric,7317074,7834449,8376286,9240000
Royce O'Neale,7265485,7682926,8326471,9200000
Monte Morris,7250000,7529020,8280351,9125000
Mason Plumlee,7250000,7500000,8231760,9080417
Alex Caruso,7068360,7422000,8207518,9030000
Maxi Kleber,7059480,7362565,8200000,9000000
Grayson Allen,7000000,7333333,8133334,8925000
Darius Garland,7000000,7300000,8075160,8920794
Jabari Smith,6927480,7257360,7775400,8882640
Isaiah Hartenstein,6825000,7199760,7622467,8854879
Kyle Anderson,6534829,7150000,7568743,8780488
Victor Oladipo,6500000,7068360,7518518,8750000
Daniel Theis,6481482,7000000,7500000,8694369
LaMelo Ball,6400920,7000000,7500000,8623920
Seth Curry,6392760,7000000,7422000,8496653
Evan Mobley,6273000,6930729,7310000,8478720
Gary Payton II,6000000,6731508,7280400,8300000
Dewayne Dedmon,6000000,6720720,7040880,8283688
De'Anthony Melton,5846154,6666667,7020000,8250000
JaMychal Green,5813640,6571800,7000000,8200000
TJ McConnell,5806440,6500000,7000000,8100000
Keegan Murray,5718000,6493000,6920027,8008440
Kevon Looney,5697600,6431666,6803190,8000000
Thaddeus Young,5500000,6400920,6720720,8000000
Delon Wright,5453280,6176578,6592920,7804878
Patrick Williams,5348007,6119676,6500000,7775400
Scottie Barnes,5307120,6104280,6431666,7644600
Cedi Osman,5300400,6000000,6395160,7426088
Coby White,5201400,6000000,6350000,7413955
Zach Collins,5000000,5969040,6349671,7350000
Jaden Ivey,5000000,5813640,6104280,7252200
Taurean Prince,4862040,5720400,6006420,7100000
Jae'Sean Tate,4861207,5686677,5988000,7065217
Isaac Okoro,4855800,5635000,5890000,7040880
Cody Martin,4807693,5573333,5890000,7000000
Jalen Suggs,4767000,5572680,5890000,6922320
