Player,Salary,Salary (adjusted)
Wendell Carter,5448840,6448834
Zach Collins,5406255,6398433
Malik Monk,5345687,6326750
Killian Hayes,5307120,6281105
Luke Kennard,5273826,6241700
Ryan Anderson,5214583,6171585
Donovan Mitchell,5195501,6149001
Rodney McGruder,5192307,6145221
Bam Adebayo,5115492,6054308
Justin Jackson,5109637,6047378
Jaxson Hayes,5105160,6042080
Ed Davis,5005350,5923953
Mike Scott,5005350,5923953
Enes Kanter,5005350,5923953
Richaun Holmes,5005350,5923953
Daniel Theis,5000000,5917621
Luol Deng,5000000,5917621
Nerlens Noel,5000000,5917621
Collin Sexton,4991880,5908011
Pat Connaughton,4938273,5844565
Obi Toppin,4862040,5754342
Kevon Looney,4821429,5706278
Kris Dunn,4767000,5641860
Garrett Temple,4767000,5641860
Josh Jackson,4767000,5641860
Elfrid Payton,4767000,5641860
Rui Hachimura,4692840,5554089
Denzel Valentine,4642800,5494866
Kevin Knox,4588680,5430814
DJ Wilson,4548280,5382999
Deni Avdija,4469160,5289359
Cam Reddish,4458000,5276151
TJ Leaf,4431423,5244696
Mikal Bridges,4359000,5158982
Jalen Smith,4245720,5024912
Cameron Johnson,4235160,5012414
JaVale McGee,4200000,4970801
Reggie Bullock,4200000,4970801
Shai Gilgeous-Alexander,4141320,4901352
John Collins,4137302,4896597
Willie Cauley-Stein,4100000,4852449
Devin Vassell,4033440,4773674
PJ Washington,4023600,4762028
Dorian Finney-Smith,4000000,4734096
Patrick McCaw,4000000,4734096
Alex Len,3970648,4699357
Terrance Ferguson,3944013,4667835
Miles Bridges,3934320,4656363
Austin Rivers,3929049,4650123
Jevon Carter,3925000,4645332
Jarrett Allen,3909902,4627463
Nicolo Melli,3897436,4612710
OG Anunoby,3872215,4582860
Gabriel Deck,3870370,4580676
Tyrese Haliburton,3831840,4535075
Tyler Herro,3822240,4523713
Patrick Patterson,3814771,4514873
Stanley Johnson,3804150,4502303
Jake Layman,3761085,4451335
Jerome Robinson,3737520,4423445
Danuel House,3717000,4399159
Kira Lewis,3640200,4308264
Romeo Langford,3631200,4297613
Wesley Matthews,3623000,4287908
Bobby Portis,3623000,4287908
Moe Harkless,3623000,4287908
Wayne Ellington,3564753,4218971
Kyle Kuzma,3562178,4215924
Michael Porter,3550800,4202457
Tony Bradley,3542060,4192113
Derrick White,3516284,4161607
Bismack Biyombo,3500000,4142334
Boban Marjanovic,3500000,4142334
TJ McConnell,3500000,4142334
Luca Vildoza,3500000,4142334
Josh Hart,3491159,4131871
Aaron Nesmith,3458400,4093100
Sekou Doumbouya,3449400,4082448
Dewayne Dedmon,3447478,4080172
Troy Brown,3372840,3991837
Jeff Teague,3372826,3991820
Michael Carter-Williams,3300000,3905630
James Ennis,3300000,3905630
Cole Anthony,3285120,3888019
Taj Gibson,3283684,3886319
Facundo Campazzo,3200000,3787277
Jon Leuer,3169348,3751000
Isaiah Stewart,3121080,3693873
Chuma Okeke,3121080,3693873
Nickeil Alexander-Walker,3113160,3684500
DeMarcus Cousins,3051832,3611916
Donte DiVincenzo,3044160,3602837
Khem Birch,3011499,3564181
Ryan Arcidiacono,3000000,3550572
Trey Burke,3000000,3550572
Aleksej Pokusevski,2964840,3508960
Goga Bitadze,2957520,3500296
Lonnie Walker,2895720,3427154
Ben McLemore,2893630,3424681
Andrew Nicholson,2844429,3366450
Luka Samanic,2824320,3342651
Josh Green,2816760,3333703
Kevin Huerter,2761920,3268799
Alex Caruso,2750000,3254691
Marko Guduric,2750000,3254691
Matisse Thybulle,2711280,3208865
Saddiq Bey,2689920,3183585
Josh Okogie,2651040,3137570
Vincent Poirier,2619207,3099894
Brandon Clarke,2602920,3080618
Precious Achiuwa,2582160,3056048
Jeff Green,2564753,3035447
Jose Juan Barea,2564753,3035447
Jared Dudley,2564753,3035447
Marc Gasol,2564753,3035447
Udonis Haslem,2564753,3035447
Dwight Howard,2564753,3035447
Carmelo Anthony,2564753,3035447
Grayson Allen,2545320,3012447
Grant Williams,2498760,2957343
Tyrese Maxey,2478840,2933767
Chandler Hutchison,2443440,2891870
Mfiondu Kabengele,2432353,2878748
Darius Bazley,2399160,2839464
Moritz Wagner,2383915,2821420
Zeke Nnaji,2379840,2816598
Aaron Holiday,2345640,2776121
Bryn Forbes,2337145,2766067
Reggie Jackson,2331593,2759496
Markieff Morris,2331593,2759496
E'Twaun Moore,2331593,2759496
Kent Bazemore,2320044,2745828
Hassan Whiteside,2320044,2745828
Ty Jerome,2303040,2725703
Mike Muscala,2283034,2702026
Anfernee Simons,2252040,2665343
Luke Kornet,2250000,2662929
Brad Wanamaker,2250000,2662929
Monta Ellis,2245400,2657485
Nassir Little,2210640,2616346
RJ Hampton,2193480,2596036
Solomon Hill,2174318,2573358
Matthew Dellavedova,2174318,2573358
Edmond Sumner,2160000,2556412
Anderson Varejao,2141713,2534769
Dylan Windler,2137440,2529712
Immanuel Quickley,2105520,2491933
John Konchar,2100000,2485400
Landry Shamet,2090040,2473613
Jordan Poole,2063280,2441941
Bol Bol,2058240,2435976
Keldon Johnson,2048040,2423904
Payton Pritchard,2035800,2409418
Robert Williams,2029920,2402459
Tyler Johnson,2028594,2400890
Bruno Caboclo,2028594,2400890
Langston Galloway,2028594,2400890
Gary Clark,2018458,2388893
Jacob Evans,2017320,2387547
Spencer Hawes,2007058,2375401
Dzanan Musa,2002800,2370362
Damyean Dotson,2000000,2367048
Theo Maledon,2000000,2367048
Kenrich Williams,2000000,2367048
